Metric,SPY,Strategy
Risk-Free Rate,5.07%,5.07%
Time in Market,69.0%,45.0%
,,
Total Return,57%,148%
CAGR% (Annual Return),27.92%,64.69%
,,
Sharpe,1.61,1.12
RoMaD,2.8,1.11
Corr to Benchmark,1.0,-0.03
Prob. Sharpe Ratio,91.54%,62.47%
Smart Sharpe,1.49,1.04
Sortino,2.42,1.59
Smart Sortino,2.24,1.47
Sortino/√2,1.71,1.13
Smart Sortino/√2,1.58,1.04
Omega,1.32,1.32
,,
Max Drawdown,-9.97%,-58.48%
Longest DD Days,121,207
Volatility (ann.),12.73%,52.73%
R^2,0.0,0.0
Information Ratio,0.04,0.04
Calmar,2.8,1.11
Skew,-0.1,-1.29
Kurtosis,1.98,20.88
,,
Expected Daily%,0.07%,0.14%
Expected Monthly%,1.97%,4.02%
Expected Yearly%,25.1%,57.43%
Daily Value-at-Risk,-1.03%,-4.36%
Expected Shortfall (cVaR),-1.03%,-4.36%
,,
MTD,4.35%,0.0%
3M,9.8%,0.0%
6M,14.63%,22.77%
YTD,26.73%,127.47%
1Y,36.63%,151.99%
3Y (ann.),27.92%,64.69%
5Y (ann.),27.92%,64.69%
10Y (ann.),27.92%,64.69%
All-time (ann.),27.92%,64.69%
,,
Best Day,2.49%,16.75%
Worst Day,-2.91%,-26.38%
Best Month,9.13%,47.88%
Worst Month,-4.73%,-44.82%
Best Year,26.73%,127.47%
Worst Year,23.5%,8.95%
,,
Avg. Drawdown,-1.53%,-8.57%
Avg. Drawdown Days,12,27
Recovery Factor,4.64,2.0
Ulcer Index,0.03,0.13
Serenity Index,1.94,0.95
,,
Avg. Up Month,3.36%,22.93%
Avg. Down Month,-2.67%,-8.07%
Win Days,383.32,348.33
Loss Days,281.68,316.67
Win Days%,57.64%,52.38%
Win Month%,73.91%,47.37%
Win Quarter%,87.5%,57.14%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.12
Alpha,-,0.67
Correlation,-,-2.97%
Treynor Ratio,-,-1159.33%
