Metric,SPY,Strategy
Risk-Free Rate,4.39%,4.39%
Time in Market,69.0%,48.0%
,,
Total Return,41%,225%
CAGR% (Annual Return),13.03%,52.01%
,,
Sharpe,0.54,0.88
RoMaD,0.59,0.75
Corr to Benchmark,1.0,-0.17
Prob. Sharpe Ratio,46.15%,57.42%
Smart Sharpe,0.51,0.84
Sortino,0.77,1.42
Smart Sortino,0.74,1.36
Sortino/√2,0.54,1.01
Smart Sortino/√2,0.52,0.96
Omega,1.25,1.25
,,
Max Drawdown,-22.09%,-68.9%
Longest DD Days,475,570
Volatility (ann.),17.66%,67.91%
R^2,0.03,0.03
Information Ratio,0.04,0.04
Calmar,0.59,0.75
Skew,-0.13,1.66
Kurtosis,3.93,24.84
,,
Expected Daily%,0.03%,0.11%
Expected Monthly%,0.99%,3.42%
Expected Yearly%,12.18%,48.11%
Daily Value-at-Risk,-1.48%,-5.67%
Expected Shortfall (cVaR),-1.48%,-5.67%
,,
MTD,4.35%,-5.3%
3M,9.46%,-8.19%
6M,14.11%,4.62%
YTD,26.73%,102.31%
1Y,34.03%,204.24%
3Y (ann.),13.03%,52.01%
5Y (ann.),13.03%,52.01%
10Y (ann.),13.03%,52.01%
All-time (ann.),13.03%,52.01%
,,
Best Day,5.5%,37.46%
Worst Day,-4.35%,-26.34%
Best Month,9.13%,87.56%
Worst Month,-9.24%,-44.76%
Best Year,26.73%,102.31%
Worst Year,-11.25%,8.94%
,,
Avg. Drawdown,-2.31%,-12.99%
Avg. Drawdown Days,25,46
Recovery Factor,1.76,2.63
Ulcer Index,0.09,0.34
Serenity Index,0.22,0.31
,,
Avg. Up Month,3.9%,19.7%
Avg. Down Month,-4.21%,-12.2%
Win Days,546.03,522.36
Loss Days,481.97,505.64
Win Days%,53.12%,50.81%
Win Month%,65.71%,46.88%
Win Quarter%,75.0%,33.33%
Win Year%,66.67%,100.0%
,,
Beta,-,-0.67
Alpha,-,0.74
Correlation,-,-17.33%
Treynor Ratio,-,-330.76%
